pedon_Key,User_pedon_ID,peiid,soil_name,class_type,classification_name,pedlabsampnum,site_key,project_key,siteiid,usiteid,Primary_Lab_Report,pedon_Description_Report,Soil_Profile,Soil_web,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,lat,long
6484,1977NV019002,254235,patna,taxadjunct,"Sandy, mixed, mesic Typic Haplargids",78P0015,6484,156,256048,1977NV019002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6484&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254235,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3319,-119.237",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.331944400,-119.236944400
6485,1977NV019003,254236,hough,series,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Haplargids",78P0016,6485,156,256049,1977NV019003,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6485&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254236,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.345,-119.186",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.345000000,-119.186111100
6486,1977NV019004,254239,(unnamed),taxadjunct,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Haplic Natrargid",78P0017,6486,156,256052,1977NV019004,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6486&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254239,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3456,-119.211",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.345555600,-119.211111100
6488,1977NV019006,254242,rusty,taxadjunct,"Fine-loamy, mixed, superactive, mesic Typic Haplargids",78P0019,6488,156,256055,1977NV019006,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6488&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019006,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254242,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3586,-119.169",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.358611100,-119.168611100
6489,1977NV019007,254243,bango,series,"Fine-loamy, mixed, superactive, mesic Haplic Natrargids",78P0020,6489,156,256056,1977NV019007,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6489&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019007,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254243,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3083,-119.228",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.308333300,-119.227500000
6490,1977NV019008,254244,(unnamed),taxadjunct,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Typic Natrargid",78P0021,6490,156,256066,1977NV019008,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6490&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019008,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254244,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3039,-119.143",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.303888900,-119.142500000
6491,1977NV019009,254245,rusty,taxadjunct,"Fine-loamy, mixed, superactive, mesic Typic Haplargids",78P0022,6491,156,256067,1977NV019009,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6491&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019009,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254245,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.0392,-119.188",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.039166700,-119.188055600
6492,1977NV019010,254246,delp,taxadjunct,"Coarse-loamy, mixed, superactive, mesic Typic Haplargids",78P0023,6492,156,256068,1977NV019010,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6492&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019010,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254246,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9431,-119.311",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",38.943055600,-119.311388900
6493,77NV019011,119595,pizene,taxadjunct,"Coarse-loamy, mixed, superactive, mesic Typic Natrargids",78P0024,6493,156,117851,S1977NV019011,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6493&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV019011,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119595,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9261,-119.196",US,United States,NV,Nevada,NV019,Lyon,26,Carson Basin and Mountains,NV625,"Lyon County Area, Nevada",38.926109300,-119.195831300
6539,77CA061001,119617,putt,series,"Loamy-skeletal, mixed, superactive, mesic Andic Xerumbrepts",78P0070,6539,164,117873,S1977CA061001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6539&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119617,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2749,-120.676",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California",39.274890900,-120.676025400
6540,77CA061002,119618,huysink,series,"Loamy-skeletal, mixed, mesic Xeric Haplohumults",78P0071,6540,164,117874,S1977CA061002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6540&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119618,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2832,-120.676",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California",39.283222200,-120.676025400
6541,77CA061003,119619,tinker,series,"Ashy-skeletal, mixed, frigid Humic Vitrixerands",78P0072,6541,164,117875,S1977CA061003,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6541&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119619,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2999,-120.451",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California",39.299892400,-120.451019300
6567,77NV007026,955949,stampede,series,"Fine, smectitic, frigid Aridic Durixeroll",78P0098,6567,172,974243,77NV007026,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6567&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007026,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955949,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7217,-115.492",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part",40.721666700,-115.491666700
6568,77NV007027,955950,stampede,taxadjunct,"Fine, smectitic, frigid Aridic Calcic Argixeroll",78P0099,6568,172,974244,77NV007027,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6568&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007027,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955950,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7056,-115.486",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part",40.705555600,-115.486111100
6572,77NV007031,955954,hunnton,taxadjunct,"Fine, smectitic, mesic Abruptic Xerollic Durargid",78P0103,6572,172,974248,77NV007031,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6572&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007031,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955954,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7214,-115.534",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part",40.721388900,-115.533888900
6573,77NV007032,955955,heechee,taxadjunct,"Loamy-skeletal, mixed, superactive, frigid Xerollic Haplargid",78P0104,6573,172,974249,77NV007032,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6573&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007032,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955955,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.6969,-115.43",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part",40.696944400,-115.430277800
6581,77MN137001,119631,ahmeek,series,"Coarse-loamy, isotic, frigid Typic Haplorthods",78P0113,6581,175,117887,S1977MN137001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6581&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77MN137001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119631,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.8878,-92.0374",US,United States,MN,Minnesota,MN137,St. Louis,93,Superior Stony and Rocky Loamy Plains and Hills,MN137,"St. Louis County, Minnesota",46.887771600,-92.037399300
6597,77NY041004,119647,marlow,taxadjunct,"Coarse-loamy, mixed, superactive, frigid Typic Haplohumods",78P0129,6597,176,117903,S1977NY041004,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6597&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NY041004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119647,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=43.5014,-74.1806",US,United States,NY,New York,NY041,Hamilton,143,Northeastern Mountains,NY041,"Hamilton County, New York",43.501388500,-74.180557300
6606,77NV033001,119651,ursine,NULL,"Loamy-skeletal, carbonatic, mesic, shallow Calcic Petrocalcids",78P0138,6606,181,117907,S1977NV033001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6606&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV033001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119651,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9774,-114.547",US,United States,NV,Nevada,NV033,White Pine,28A,Great Salt Lake Area,NV778,"Humboldt National Forest, Nevada, South Part, Parts of Lincoln, Nye and White Pine Counties",38.977443700,-114.547226000
6617,77ND001004,119657,wayden,series,"Clayey, smectitic, calcareous, frigid, shallow Typic Ustorthents",78P0149,6617,183,117913,S1977ND001004,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6617&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119657,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.1414,-102.89",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota",46.141387900,-102.889999400
6618,77ND001005,119658,moreau,taxadjunct,"Fine, smectitic, frigid Typic Haploborolls",78P0150,6618,183,117914,S1977ND001005,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6618&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119658,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.1403,-102.89",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota",46.140277900,-102.890274000
