pedon_Key,User_pedon_ID,peiid,Primary_Lab_Report,pedlabsampnum,pedon_Description_Report,Soil_Profile,Soil_web,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name
3079,1961NV027002,253343,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3079&r=1&submit1=Get+Report,40A3248,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1961NV027002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=253343,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.1725,-118.475",US,United States,NV,Nevada,NV027,Pershing,27,Fallon-Lovelock Area,NV602,"Lovelock Area, Nevada, Parts of Pershing and Churchill Counties"
3082,S1961NV005005,104557,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3082&r=1&submit1=Get+Report,40A3251,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1961NV005005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=104557,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.8667,-119.797",US,United States,NV,Nevada,NV005,Douglas,26,Carson Basin and Mountains,NV773,"Douglas County Area, Nevada"
5628,S1969NV031019,110548,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=5628&r=1&submit1=Get+Report,69C0101,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1969NV031019,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=110548,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.6513,-119.306",US,United States,NV,Nevada,NV031,Washoe,27,Fallon-Lovelock Area,NV603,"Fallon-Fernley Area, Nevada, Parts of Churchill, Lyon, Storey and Washoe Counties"
6324,S1974NV017005,110511,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6324&r=1&submit1=Get+Report,74C0159,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1974NV017005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=110511,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=37.1567,-114.436",US,United States,NV,Nevada,NV017,Lincoln,30,Mojave Desert,NV754,"Lincoln County, Nevada, South Part"
6483,1977NV019001,254234,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6483&r=1&submit1=Get+Report,78P0014,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254234,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3244,-119.222",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6484,1977NV019002,254235,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6484&r=1&submit1=Get+Report,78P0015,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254235,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3319,-119.237",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6485,1977NV019003,254236,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6485&r=1&submit1=Get+Report,78P0016,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254236,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.345,-119.186",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6486,1977NV019004,254239,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6486&r=1&submit1=Get+Report,78P0017,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254239,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3456,-119.211",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6488,1977NV019006,254242,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6488&r=1&submit1=Get+Report,78P0019,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019006,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254242,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3586,-119.169",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6489,1977NV019007,254243,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6489&r=1&submit1=Get+Report,78P0020,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019007,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254243,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3083,-119.228",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6490,1977NV019008,254244,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6490&r=1&submit1=Get+Report,78P0021,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019008,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254244,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3039,-119.143",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6491,1977NV019009,254245,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6491&r=1&submit1=Get+Report,78P0022,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019009,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254245,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.0392,-119.188",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6492,1977NV019010,254246,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6492&r=1&submit1=Get+Report,78P0023,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019010,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254246,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9431,-119.311",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada"
6493,77NV019011,119595,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6493&r=1&submit1=Get+Report,78P0024,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV019011,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119595,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9261,-119.196",US,United States,NV,Nevada,NV019,Lyon,26,Carson Basin and Mountains,NV625,"Lyon County Area, Nevada"
6539,77CA061001,119617,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6539&r=1&submit1=Get+Report,78P0070,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119617,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2749,-120.676",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California"
6540,77CA061002,119618,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6540&r=1&submit1=Get+Report,78P0071,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119618,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2832,-120.676",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California"
6541,77CA061003,119619,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6541&r=1&submit1=Get+Report,78P0072,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77CA061003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119619,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.2999,-120.451",US,United States,CA,California,CA061,Placer,22A,Sierra Nevada Mountains,CA719,"Tahoe National Forest Area, California"
6567,77NV007026,955949,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6567&r=1&submit1=Get+Report,78P0098,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007026,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955949,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7217,-115.492",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part"
6568,77NV007027,955950,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6568&r=1&submit1=Get+Report,78P0099,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007027,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955950,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7056,-115.486",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part"
6572,77NV007031,955954,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6572&r=1&submit1=Get+Report,78P0103,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007031,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955954,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7214,-115.534",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part"
6573,77NV007032,955955,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6573&r=1&submit1=Get+Report,78P0104,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV007032,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=955955,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.6969,-115.43",US,United States,NV,Nevada,NV007,Elko,25,Owyhee High Plateau,NV767,"Elko County, Nevada, Central Part"
6581,77MN137001,119631,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6581&r=1&submit1=Get+Report,78P0113,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77MN137001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119631,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.8878,-92.0374",US,United States,MN,Minnesota,MN137,St. Louis,93,Superior Stony and Rocky Loamy Plains and Hills,MN137,"St. Louis County, Minnesota"
6597,77NY041004,119647,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6597&r=1&submit1=Get+Report,78P0129,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NY041004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119647,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=43.5014,-74.1806",US,United States,NY,New York,NY041,Hamilton,143,Northeastern Mountains,NY041,"Hamilton County, New York"
6606,77NV033001,119651,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6606&r=1&submit1=Get+Report,78P0138,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77NV033001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119651,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.9774,-114.547",US,United States,NV,Nevada,NV033,White Pine,28A,Great Salt Lake Area,NV778,"Humboldt National Forest, Nevada, South Part, Parts of Lincoln, Nye and White Pine Counties"
6617,77ND001004,119657,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6617&r=1&submit1=Get+Report,78P0149,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119657,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.1414,-102.89",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6618,77ND001005,119658,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6618&r=1&submit1=Get+Report,78P0150,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119658,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.1403,-102.89",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6619,77ND001006,119659,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6619&r=1&submit1=Get+Report,78P0151,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001006,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119659,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.1417,-102.886",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6620,77ND001007,119660,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6620&r=1&submit1=Get+Report,78P0152,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001007,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119660,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9856,-102.232",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6621,77ND001008,119661,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6621&r=1&submit1=Get+Report,78P0153,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001008,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119661,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9858,-102.232",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6622,77ND001009,119662,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6622&r=1&submit1=Get+Report,78P0154,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001009,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119662,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9869,-102.232",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6623,1977ND001010,1120460,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6623&r=1&submit1=Get+Report,78P0155,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977ND001010,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=1120460,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9986,-102.167",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6624,77ND001011,119664,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6624&r=1&submit1=Get+Report,78P0156,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001011,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119664,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9986,-102.165",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6625,77ND001012,119665,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6625&r=1&submit1=Get+Report,78P0157,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77ND001012,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=119665,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.9989,-102.165",US,United States,ND,North Dakota,ND001,Adams,54,Rolling Soft Shale Plain,ND001,"Adams County, North Dakota"
6669,S1977TX047002,110740,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6669&r=1&submit1=Get+Report,78P0206,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1977TX047002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=110740,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=27.1861,-98.3033",US,United States,TX,Texas,TX047,Brooks,83C,Central Rio Grande Plain,TX047,"Brooks County, Texas"
